artist_names,track_name,peak_streams,total_streams,peak_rank_max,max_days_on_chart,best_day_streams,first_appearance,uri,source,best_day_date,genres
Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",5680885,1072480238,81,489,5680885,2023-07-13,spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q,Darkroom/Interscope Records,2023-07-27,['Alternative']
Jimin,Who,10674703,1070746961,3,166,10674703,2024-07-19,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU,BIGHIT MUSIC,2024-07-25,['Asiatische Musik']
"KAROL G, Peso Pluma",QLONA,4538107,1069146131,46,442,4538107,2023-08-11,spotify:track:5RqSsdzTNPX1uzkmlHCFvK,Bichota/Interscope Records,2023-09-15,['Latin Musik']
Olivia Rodrigo,deja vu,6965911,1067759293,61,624,6965911,2023-07-02,spotify:track:6HU7h9RYOaPRFeh0R3UeAr,Olivia Rodrigo PS,2021-05-21,['Pop']
"Travis Scott, Playboi Carti",FE!N (feat. Playboi Carti),8998039,1060585798,4,478,8998039,2023-07-28,spotify:track:42VsgItocQwOQC3XWZ8JNA,Cactus Jack/Epic,2023-07-28,['Rap/Hip Hop']
Lana Del Rey,Summertime Sadness,1646634,1055554159,189,806,1646634,2023-01-02,spotify:track:1FEiijYPJtyswChfcpv3p0,Urban,2024-04-18,['Pop']
"Feid, ATL Jacob",LUNA,4185532,1053736593,195,393,4185532,2023-12-05,spotify:track:7bywjHOc0wSjGGbj04XbVi,UMLE - Latino,2024-01-23,"['Rap/Hip Hop', 'Latin Musik']"
Imagine Dragons,Bones,2481967,1051949456,100,686,2481967,2023-01-01,spotify:track:54ipXppHLA8U4yqpOFTUhr,Kid Ina Korner / Interscope,2022-10-28,['Alternative']
Bruno Mars,When I Was Your Man,2663783,1045819624,194,767,2663783,2023-01-01,spotify:track:0B7wvvmu9EISAwZnOpjhNI,Atlantic Records,2024-02-07,['Pop']
"The Chainsmokers, Coldplay",Something Just Like This,2111019,1033020890,2,1668,2111019,2023-05-10,spotify:track:6RUKPb4LETWmmr3iAEQktW,Disruptor Records/Columbia,2024-09-25,"['Alternative', 'Indie Pop', 'Electro', 'Techno/House', 'Dance', 'Pop', 'Rock']"
