rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,date,year-month,genres
71,spotify:track:3Z7CaxQkqbIs1rewKi6v4W,"Tiësto, Charli xcx",Hot In It (feat. Charli XCX),Atlantic Records,71,-1,1,1279628,2022-07-01,2022-07,"['Electronic', 'Pop']"
189,spotify:track:40SBS57su9xLiE1WqkXOVr,LF SYSTEM,Afraid To Feel,Warner Records,189,-1,1,824548,2022-07-02,2022-07,['Electronic']
160,spotify:track:0muK9BAzu2TJXQgWPsEj6e,"Journey, Steve Perry",Separate Ways (Worlds Apart) - Bryce Miller/Alloy Tracks Remix,Legacy Recordings,160,-1,1,795478,2022-07-03,2022-07,"['Rock', 'Movie/Game Music', 'Pop']"
190,spotify:track:4cacyP5c3PMlfnyjpg13xW,Yung Gravy,Betty (Get Money),Republic Records,190,-1,1,807333,2022-07-06,2022-07,"['Pop', 'Hip Hop']"
195,spotify:track:5sICkBXVmaCQk5aISGR3x1,Metallica,Enter Sandman,Blackened Recordings / Universal Music,195,-1,1,800174,2022-07-06,2022-07,"['Metal', 'Rock', 'Pop']"
105,spotify:track:3AbNNvo2OmyeDMvRBgf9vk,"TINI, Becky G, Anitta",La Loto,Sony Music Latin,105,-1,1,1140907,2022-07-08,2022-07,['Pop']
145,spotify:track:5XFoaqV1Z8XaLJidchVWhh,Kid Cudi,love.,Universal Records,145,-1,1,1011429,2022-07-08,2022-07,"['Pop', 'Hip Hop']"
147,spotify:track:2WTHLEVjfefbGoW7F3dXIg,aespa,Girls,SM Entertainment / Warner Records,147,-1,1,1007378,2022-07-08,2022-07,"['Asian Music', 'Pop']"
110,spotify:track:6MF5JoJYj5uK07Si6fRAPM,Brent Faiyaz,HEAL YOUR HEART (INTERLUDE),"Lost Kids LLC., Marketed by Venice / Stem",110,-1,1,1119662,2022-07-08,2022-07,['R&B/Soul']
124,spotify:track:2krESug6AyfOL07tlaGwts,"Brent Faiyaz, Alicia Keys",GHETTO GATSBY (FEAT. ALICIA KEYS),"Lost Kids LLC., Marketed by Venice / Stem",124,-1,1,1062923,2022-07-08,2022-07,['R&B/Soul']
127,spotify:track:5YbPxJwPfrj7uswNwoF1pJ,Burna Boy,Last Last,Spaceship/ Bad Habit/Atlantic Records,127,-1,1,1060130,2022-07-08,2022-07,['African Music']
182,spotify:track:48oQGynnS8RLiYRFsJ6pDL,"Brent Faiyaz, Joony",FYTB (FEAT. JOONY),"Lost Kids LLC., Marketed by Venice / Stem",182,-1,1,919467,2022-07-08,2022-07,['R&B/Soul']
189,spotify:track:0y8lwLPXBsenbF5WAZhlbL,Pashanim,Kleiner Prinz,Urban,189,-1,1,901241,2022-07-08,2022-07,['Hip Hop']
195,spotify:track:01VzuxoBYMAJLObfU0w6dI,"Brent Faiyaz, Tre' Amani",ADDICTIONS (FEAT. Tre' Amani),"Lost Kids LLC., Marketed by Venice / Stem",195,-1,1,886090,2022-07-08,2022-07,['R&B/Soul']
196,spotify:track:2c2tlXfEmLgUNvxngIi1qL,Brent Faiyaz,DEAD MAN WALKING,"Lost Kids LLC., Marketed by Venice / Stem",196,-1,1,883684,2022-07-08,2022-07,['R&B/Soul']
156,spotify:track:0e0JshRej2NwT7jahEmv52,Brent Faiyaz,ROLLING STONE,"Lost Kids LLC., Marketed by Venice / Stem",156,-1,1,974892,2022-07-08,2022-07,['R&B/Soul']
169,spotify:track:6N9U1wkWniSXD4TKD4ln0h,"Brent Faiyaz, Drake, The Neptunes",WASTING TIME (FEAT. DRAKE & THE NEPTUNES),"Lost Kids LLC., Marketed by Venice / Stem",39,-1,9,953907,2022-07-08,2022-07,['R&B/Soul']
44,spotify:track:00imgaPlYRrMGn9o83hfmk,Brent Faiyaz,LOOSE CHANGE,"Lost Kids LLC., Marketed by Venice / Stem",44,-1,1,1696527,2022-07-08,2022-07,['R&B/Soul']
53,spotify:track:3XgGQ1wjo5khvq2UImjyNF,Brent Faiyaz,ALL MINE,"Lost Kids LLC., Marketed by Venice / Stem",53,-1,1,1547977,2022-07-08,2022-07,['R&B/Soul']
88,spotify:track:4xKQtLZn8m2d2KJy13ZujE,Brent Faiyaz,PRICE OF FAME,"Lost Kids LLC., Marketed by Venice / Stem",88,-1,1,1214680,2022-07-08,2022-07,"['R&B/Soul', 'Pop']"
96,spotify:track:5QvW5lK6mkfTegpAK9JOO7,"Fivio Foreign, The Kid LAROI",Paris to Tokyo,RichFish/Columbia,96,-1,1,1173096,2022-07-08,2022-07,"['Pop', 'Hip Hop']"
